account,total_pnl,avg_pnl,pnl_std,total_trades,total_volume,avg_trade_size,total_fees,profitable_trades,loss_trades,win_rate,profit_factor
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,41.47409637418087,220.3877348338997,3052,10992355.74,3601.689298820446,2821.95879926,871,21,0.2853866317169069,44.83910362672701
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,6.81210350887536,68.2349036218229,15605,19868207.98,1273.1950003204101,2287.9554331042,5396,165,0.3457866068567767,46.44165356764322
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,174.6918088057554,976.068751360001,417,861809.4,2066.6892086330936,189.93800451,239,16,0.5731414868105515,381.5190404809369
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,120.50731710657195,474.8098365007934,563,1677425.72,2979.4417761989343,548.72926461,230,0,0.40852575488454707,123.41642313536357
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,40.746875941947565,288.26612386189584,534,4448323.26,8330.193370786517,541.7456094464,172,58,0.32209737827715357,40.09029529542208
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,145.48174829898866,1374.0264020518678,14733,56543565.23,3837.885375008484,15995.31825182,4967,1312,0.3371343243059798,133.9922452121215
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4.648305254443986,332.0834053908585,4838,108877041.1,22504.555828854896,28643.173715,2122,519,0.4386109962794543,0.7850986048595119
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,44.364090516232544,567.7627628499143,21192,68036340.24,3210.472831257078,8596.705666219,9909,88,0.46758210645526616,109.35054568266634
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,83.49831952025748,1530.5250331047494,2641,20737391.71,7852.098337750852,4773.09848443,865,312,0.32752745172283226,46.1907232479995
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,20.806304824731235,264.1238803160226,40184,74107810.44,1844.2118863229146,13352.89970895,17208,5343,0.428230141349791,62.609467743467114
