date,total_pnl,avg_pnl,trade_count,total_volume,avg_trade_size,profitable_trades,buy_count,sell_count,sentiment_value,win_rate,buy_sell_ratio
2024-06-25,4869.353105,99.3745531632653,49,103099.08,2104.062857142857,11,11,38,30.0,0.22448979591836735,0.28205128205128205
2024-06-26,4197.732182,58.30183586111111,72,365190.66000000003,5072.092500000001,21,41,31,46.0,0.2916666666666667,1.28125
2024-06-27,0.0,0.0,30,130486.95,4349.565,0,12,18,40.0,0.0,0.631578947368421
2024-06-29,6150.326145,82.0043486,75,280095.11,3734.6014666666665,24,35,40,30.0,0.32,0.8536585365853658
2024-06-30,0.0,0.0,14,30520.69,2180.049285714286,0,5,9,47.0,0.0,0.5
2024-07-01,5065.839308,79.1537391875,64,362670.14999999997,5666.721093749999,26,6,58,53.0,0.40625,0.1016949152542373
2024-07-02,2421.253116,134.514062,18,33347.47,1852.6372222222224,13,13,5,51.0,0.7222222222222222,2.1666666666666665
2024-07-03,1118.387284,62.132626888888886,18,179600.66,9977.814444444444,4,18,0,50.0,0.2222222222222222,18.0
2024-07-04,0.0,0.0,25,430568.01,17222.720400000002,0,25,0,44.0,0.0,25.0
2024-07-05,0.0,0.0,32,272289.89,8509.0590625,0,32,0,29.0,0.0,32.0
2024-07-06,108.87217799999999,4.53634075,24,2490.17,103.75708333333334,7,17,7,26.0,0.2916666666666667,2.125
2024-07-07,61.428942,6.1428942,10,498.75,49.875,10,0,10,29.0,1.0,0.0
2024-07-08,0.0,0.0,1,497.64,497.64,0,1,0,28.0,0.0,1.0
2024-07-09,648.984412,43.265627466666665,15,2736.45,182.42999999999998,15,0,15,27.0,1.0,0.0
2024-07-10,11977.734907,213.88812333928573,56,687900.21,12283.93232142857,38,10,46,28.0,0.6785714285714286,0.2127659574468085
2024-07-11,1876.812082,98.77958326315789,19,169887.02,8941.422105263156,9,10,9,29.0,0.47368421052631576,1.0
2024-07-12,1412.314654,74.33235021052631,19,89582.97,4714.893157894737,9,19,0,25.0,0.47368421052631576,19.0
2024-07-13,2913.617837,171.38928452941175,17,139189.19,8187.599411764706,17,0,17,25.0,1.0,0.0
2024-07-14,0.0,0.0,7,84001.13,12000.16142857143,0,0,7,33.0,0.0,0.0
2024-07-15,-1.0,-0.038461538461538464,26,198344.85,7628.6480769230775,0,2,24,52.0,0.0,0.08
2024-07-16,0.0,0.0,22,144000.57,6545.480454545454,0,0,22,65.0,0.0,0.0
