date,total_pnl,avg_pnl,trade_count,total_volume,avg_trade_size,profitable_trades,buy_count,sell_count,sentiment_value,win_rate,buy_sell_ratio,sentiment_lag_1,sentiment_lag_3,sentiment_lag_7,sentiment_ma_7,sentiment_ma_14,sentiment_std_7,sentiment_change_1d,sentiment_change_7d,sentiment_momentum,sentiment_zone,zone_change,pnl_lag_1,pnl_ma_7,cumulative_pnl,next_day_pnl
2025-01-11,2269.080536,8.017952424028268,283,1658098.71,5859.006042402827,69,166,117,69.0,0.24381625441696114,1.4067796610169492,50.0,70.0,73.0,69.14285714285714,69.21428571428571,9.136530549184853,19.0,-4.0,-0.1428571428571388,Greed,1,-10116.875552,27799.336675285733,3768768.9008159996,5742.241803
2025-01-12,5742.241803,9.538607646179402,602,2258459.17,3751.59330564784,472,81,521,62.0,0.7840531561461794,0.15517241379310345,69.0,69.0,72.0,67.71428571428571,68.42857142857143,9.393513466115474,-7.0,-10.0,-5.714285714285708,Greed,0,2269.080536,28164.268452428583,3774511.142619,9655.429352
2025-01-13,9655.429352,23.66526801960784,408,2936648.0100000002,7197.666691176471,158,240,168,61.0,0.3872549019607843,1.4201183431952662,62.0,50.0,76.0,65.57142857142857,68.14285714285714,8.885515232803238,-1.0,-15.0,-4.571428571428569,Greed,0,5742.241803,28677.3033037143,3784166.5719709997,16069.512355
2025-01-14,16069.512355,58.43459038181818,275,876581.97,3187.5708,137,92,183,63.0,0.49818181818181817,0.5,61.0,69.0,78.0,63.42857142857143,68.07142857142857,6.996597812678552,2.0,-15.0,-0.4285714285714306,Greed,0,9655.429352,28673.201135714302,3800236.0843259995,14819.5883
2025-01-15,14819.5883,55.50407602996255,267,1801599.8900000001,6747.565131086143,123,93,174,70.0,0.4606741573033708,0.5314285714285715,63.0,62.0,70.0,63.42857142857143,68.35714285714286,6.996597812678552,7.0,0.0,6.571428571428569,Greed,0,16069.512355,12202.129385142875,3815055.6726259994,20807.709328
2025-01-16,20807.709328,56.08546988679245,371,3049692.96,8220.196657681941,127,114,257,75.0,0.3423180592991914,0.4418604651162791,70.0,61.0,69.0,64.28571428571429,68.71428571428571,8.07701029082498,5.0,6.0,10.714285714285708,Extreme Greed,1,14819.5883,8463.812303142873,3835863.3819539994,7006.415608
2025-01-17,7006.415608,29.43872104201681,238,1110230.46,4664.8338655462185,126,95,143,75.0,0.5294117647058824,0.6597222222222222,75.0,63.0,50.0,67.85714285714286,68.78571428571429,5.95618925792222,0.0,25.0,7.142857142857139,Extreme Greed,0,20807.709328,10909.996754571444,3842869.7975619994,443.2330819999997
2025-01-18,443.2330819999997,0.6808495883256523,651,2711629.88,4165.330076804916,248,353,298,77.0,0.38095238095238093,1.1806020066889633,75.0,70.0,69.0,69.0,69.07142857142857,6.9041050590691535,2.0,8.0,8.0,Extreme Greed,0,7006.415608,10649.161404000017,3843313.0306439996,87923.799302
2025-01-19,87923.799302,56.10963580216975,1567,9715215.3,6199.8821314613915,317,841,726,77.0,0.20229738353541799,1.156808803301238,77.0,75.0,62.0,71.14285714285714,69.42857142857143,6.69399162006657,0.0,15.0,5.857142857142861,Extreme Greed,0,443.2330819999997,22389.383903857157,3931236.8299459997,87277.239173
2025-01-20,87277.239173,66.37052408593155,1315,8287327.01,6302.149817490495,687,755,560,76.0,0.5224334600760456,1.3458110516934045,77.0,75.0,61.0,73.28571428571429,69.42857142857143,5.12231346542682,-1.0,15.0,2.714285714285708,Extreme Greed,0,87923.799302,33478.21387828573,4018514.069119,11077.839421
2025-01-21,11077.839421,20.901583813207548,530,1523729.82,2874.961924528302,205,145,385,76.0,0.3867924528301887,0.3756476683937824,76.0,77.0,63.0,75.14285714285714,69.28571428571429,2.4102953780650065,0.0,13.0,0.8571428571428612,Extreme Greed,0,87277.239173,32765.117744857158,4029591.9085399997,20524.408057
2025-01-22,20524.408057,24.66875968389423,832,1778406.43,2137.5077283653845,234,297,535,84.0,0.28125,0.5541044776119403,76.0,77.0,70.0,77.14285714285714,70.28571428571429,3.132015933791147,8.0,14.0,6.857142857142861,Extreme Greed,0,11077.839421,33580.091995857154,4050116.3165969998,101256.24216
2025-01-23,101256.24216,83.13320374384236,1218,3697028.66,3035.3273070607556,805,561,657,75.0,0.6609195402298851,0.8525835866261399,84.0,76.0,75.0,77.14285714285714,70.71428571428571,3.132015933791147,-9.0,0.0,-2.142857142857139,Extreme Greed,0,20524.408057,45072.73954328573,4151372.5587569997,10602.779738
2025-01-24,10602.779738,12.131326931350113,874,1611433.45,1843.7453661327231,488,358,516,75.0,0.5583524027459954,0.6924564796905223,75.0,76.0,75.0,77.14285714285714,72.5,3.132015933791147,0.0,0.0,-2.142857142857139,Extreme Greed,0,101256.24216,45586.50584757144,4161975.338495,-10348.016255999999
2025-01-25,-10348.016255999999,-20.450625011857706,506,1239377.7,2449.363043478261,141,315,191,75.0,0.27865612648221344,1.640625,75.0,84.0,77.0,76.85714285714286,72.92857142857143,3.2366943748504093,0.0,-2.0,-1.8571428571428612,Extreme Greed,0,10602.779738,44044.89879928574,4151627.322239,40823.466668
2025-01-26,40823.466668,90.51766445232816,451,1201173.66,2663.3562305986693,196,176,275,73.0,0.43458980044345896,0.6376811594202898,75.0,75.0,77.0,76.28571428571429,73.71428571428571,3.545621041711359,-2.0,-4.0,-3.285714285714292,Greed,1,-10348.016255999999,37316.279851571446,4192450.788907,41331.765392
2025-01-27,41331.765392,53.469295461837,773,1508028.31,1950.8775032341528,368,510,263,71.0,0.4760672703751617,1.9318181818181819,73.0,75.0,76.0,75.57142857142857,74.42857142857143,4.076646614442484,-2.0,-5.0,-4.571428571428569,Greed,0,40823.466668,30752.640740000013,4233782.554299,17979.613973
2025-01-28,17979.613973,36.103642516064255,498,579412.17,1163.4782530120483,313,157,341,72.0,0.6285140562248996,0.4590643274853801,71.0,75.0,76.0,75.0,75.07142857142857,4.281744192888111,1.0,-4.0,-3.0,Greed,0,41331.765392,31738.608533142873,4251762.168272,23421.01147
2025-01-29,23421.01147,25.737375241758244,910,1897513.41,2085.1795714285713,379,438,472,72.0,0.4164835164835165,0.9260042283298098,72.0,73.0,84.0,73.28571428571429,75.21428571428571,1.704336206492011,0.0,-12.0,-1.2857142857142918,Greed,0,17979.613973,32152.409020714305,4275183.179742,23097.471385
2025-01-30,23097.471385,21.64711470009372,1067,3014397.17,2825.114498594189,370,267,800,70.0,0.3467666354264292,0.3333333333333333,72.0,71.0,75.0,72.57142857142857,74.85714285714286,1.902379462422067,-2.0,-5.0,-2.5714285714285694,Greed,0,23421.01147,20986.870338571443,4298280.651127,35868.296773
2025-01-31,35868.296773,35.303441705708664,1016,2783411.48,2739.578228346457,550,323,693,76.0,0.5413385826771654,0.4654178674351585,70.0,72.0,75.0,72.71428571428571,74.92857142857143,2.138089935298848,6.0,1.0,3.285714285714292,Extreme Greed,1,23097.471385,24596.229915000014,4334148.9479,32300.205017
2025-02-01,32300.205017,50.946695610410096,634,1363746.44,2151.019621451104,378,352,282,68.0,0.5962145110410094,1.243816254416961,76.0,72.0,75.0,71.71428571428571,74.28571428571429,2.4976179127506386,-8.0,-7.0,-3.714285714285708,Greed,1,35868.296773,30688.832954000016,4366449.152917,162854.759623
2025-02-02,162854.759623,123.46835452843062,1319,5661092.29,4291.957763457164,473,833,486,60.0,0.35860500379075055,1.7104722792607803,68.0,70.0,73.0,69.85714285714286,73.07142857142857,4.980915960897285,-8.0,-13.0,-9.857142857142861,Greed,0,32300.205017,48121.8748047143,4529303.912540001,348871.326269
2025-02-03,348871.326269,146.58459086932774,2380,22592901.37,9492.815701680673,1103,1091,1289,44.0,0.4634453781512605,0.8457364341085272,60.0,76.0,71.0,66.0,70.78571428571429,10.89342309224534,-16.0,-27.0,-22.0,Fear,1,162854.759623,92056.09778714286,4878175.238809001,416876.88812
2025-02-04,416876.88812,165.9541752070064,2512,15678409.27,6241.404964171974,695,1143,1369,72.0,0.276671974522293,0.8343065693430657,44.0,68.0,72.0,66.0,70.5,10.89342309224534,28.0,0.0,6.0,Greed,1,348871.326269,149041.42266528573,5295052.126929001,56706.235562
2025-02-05,56706.235562,43.721075992289904,1297,8743231.51,6741.1191287586735,417,689,608,54.0,0.3215111796453354,1.1313628899835797,72.0,60.0,72.0,63.42857142857143,68.35714285714286,11.355720186424913,-18.0,-18.0,-9.42857142857143,Neutral,1,416876.88812,153796.4546784286,5351758.362491001,33803.799733
